ParticipantName,ParticipantCountry,R1Composer,R1Piece,R1PCString,R2Composer,R2Piece,R2PCString,R3Composer,R3Piece,R3PCString,Placement,Year
Andrey Gugnin,Russia,Johann S. Bach,"Prélude and Fugue in G major, Well-Tempered Clavier, Book 1,BWV 860","Johann S. Bach. Prélude and Fugue in G major, Well-Tempered Clavier, Book 1,BWV 860'",Modest Mussorgsky,Pictures at an Exhibitio,'Modest Mussorgsky. Pictures at an Exhibition','Sergei Rachmaninov,"Piano Concerto 3 in D minor, Op. 30","'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30'",,2015
Andrey Gugnin,Russia,Franz Liszt,"Feux follets from Transcendental Études, S. 139,5","Franz Liszt. Feux follets from Transcendental Études, S. 139,5",,,,,,,,2015
Andrey Gugnin,Russia,Ludwig van Beethoven,"Sonata 23 in F minor (Appassionata), Op. 57","Ludwig van Beethoven. Sonata 23 in F minor (Appassionata), Op. 57'",Alexander Scriabin,"Three Pieces for piano, Op. 45","Alexander Scriabin. Three Pieces for piano, Op. 45",Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']",,2015
Asiya Korepanova,Russia,Pyotr Tchaikovsky,"Méditation, Op. 72, 5","Pyotr Tchaikovsky. Méditation, Op. 72, 5",Wolfgang A. Mozart,"Piano Concerto 12 in A major, K. 414","Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', ",,,,,2015
Asiya Korepanova,Russia,Frédéric Chopin,"Étude in C major, Op. 10,1","Frédéric Chopin. Étude in C major, Op. 10,1'",,,,,,,,2015
Asiya Korepanova,Russia,Sergei Rachmaninov,"Étude-tableau in C minor, Op. 39,7","Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,7'",,,,,,,,2015
Asiya Korepanova,Russia,Franz Liszt,Mazeppa from Transcendental Études,"Franz Liszt. Mazeppa from Transcendental Études', ",,,,,,,,2015
Asiya Korepanova,Russia,Johann S. Bach,"Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852","Johann S. Bach. Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852'",'Maurice Ravel,Gaspard de la Nuit,'Maurice Ravel. Gaspard de la Nuit',Pyotr Tchaikovsky,"Piano Concerto 1 in B-flat minor, Op. 23","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23'",,2015
Asiya Korepanova,Russia,Ludwig van Beethoven,"Sonata 16 in G major, Op. 31,1","Ludwig van Beethoven. Sonata 16 in G major, Op. 31,1'",Sergei Rachmaninov,"Sonata 1 in D minor, Op.28","Sergei Rachmaninov. Sonata 1 in D minor, Op.28",Sergei Prokofiev,"Piano Concerto 2 in G minor, Op. 16","Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']",,2015
Bornin Krasnoyarsk,Russia,Franz Liszt,"Concert Étude La Leggierezza, S. 144,2","Franz Liszt. Concert Étude La Leggierezza, S. 144,2'",Wolfgang A. Mozart,"Piano Concerto 21 in C major, K. 467","Wolfgang A. Mozart. Piano Concerto 21 in C major, K. 467', ",,,,,2015
Bornin Krasnoyarsk,Russia,Frédéric Chopin,"Étude in G-sharp minor, Op. 25,6","Frédéric Chopin. Étude in G-sharp minor, Op. 25,6'",Alexander Scriabin,"Sonata 7 (White Mass), Op. 64Olivier Messiaen. Regard de l/'Eglise d'amour from Vingt regards sur l/'enfant Jésus, Op. 2","Alexander Scriabin. Sonata 7 (White Mass), Op. 64', Olivier Messiaen. Regard de l/'Eglise d'amour from Vingt regards sur l/'enfant Jésus, Op. 20",Nikolai Medtner,"Piano Concerto 2 in C minor, Op. 50","Nikolai Medtner. Piano Concerto 2 in C minor, Op. 50']",,2015
Bornin Krasnoyarsk,Russia,Pyotr Tchaikovsky,Aveu Passionné',Pyotr Tchaikovsky. Aveu Passionné',,,,,,,,2015
