"Competi","Country","Age","Stage","Composer","Associated Piece"
"Natacha Kudritskaya","Ukraine","25","Semifinal Recital","Schubert","Sonata in C Minor, D. 958"
"Natacha Kudritskaya","Ukraine","25","Semifinal Recital","Bates","White Lies for Lomax"
"Natacha Kudritskaya","Ukraine","25","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Natacha Kudritskaya","Ukraine","25","Final Recital","Beethoven–Liszt","Symphony No.2"
"Natacha Kudritskaya","Ukraine","25","Final Recital","Schubert–Liszt","Du bist die Ruh; Auf dem Wasser zu singen"
"Natacha Kudritskaya","Ukraine","25","Final Concerti","Mozart","Piano Concerto No.20 in D Minor, K.466"
"Natacha Kudritskaya","Ukraine","25","Final Concerti","Ravel","Piano Concerto in G Major"
"Eduard Kunz","Russia","28","Preliminary Recital","Scarlatti","Sonata in D Minor, K. 213; Sonata in B Minor, K. 197; Sonata in B Minor, K. 27; Sonata in B Minor, K. 87; Sonata in A Major, K. 212"
"Eduard Kunz","Russia","28","Preliminary Recital","Haydn","Sonata in A Major, Hob. XVI:12"
"Eduard Kunz","Russia","28","Preliminary Recital","Bach–Busoni","Chaconne in D Minor, BWV 1004"
"Eduard Kunz","Russia","28","Preliminary Recital","Bach–Siloti","Prelude in B Minor, BWV 855a"
"Eduard Kunz","Russia","28","Semifinal Recital","Beethoven","Sonata in C Major, Op. 53 (""Waldstein"")"
"Eduard Kunz","Russia","28","Semifinal Recital","Rachmaninoff","Moments musicaux, Op. 16"
"Eduard Kunz","Russia","28","Semifinal Recital","Bates","White Lies for Lomax"
"Eduard Kunz","Russia","28","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Eduard Kunz","Russia","28","Final Recital","Bartók","Suite, Op.14"
"Eduard Kunz","Russia","28","Final Recital","Ravel","Gaspard de la nuit"
"Eduard Kunz","Russia","28","Final Recital","Liszt","Hungarian Rhapsody No.12"
"Eduard Kunz","Russia","28","Final Recital","Rachmaninoff","Lilacs, Op.21, No.5"
"Eduard Kunz","Russia","28","Final Concerti","Beethoven","Piano Concerto No.3 in C Minor, Op.37"
"Eduard Kunz","Russia","28","Final Concerti","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Andrea Lam","Australia","27","Preliminary Recital","Schumann","Fantasiestücke, Op. 12"
"Andrea Lam","Australia","27","Preliminary Recital","Granados","Goyescas: Los requiebros; Quejas de la maja y el ruiseñor"
"Andrea Lam","Australia","27","Preliminary Recital","Kernis","Superstar Etude No. 2"
"Andrea Lam","Australia","27","Semifinal Recital","Haydn","Sonata in C Major, Hob. XVI:50"
"Andrea Lam","Australia","27","Semifinal Recital","Brahms","Klavierstücke, Op. 118"
"Andrea Lam","Australia","27","Semifinal Recital","Stravinsky","Four Etudes, Op. 7"
"Andrea Lam","Australia","27","Semifinal Recital","Bates","White Lies for Lomax"
"Andrea Lam","Australia","27","Semifinal Recital","Ginastera","Suite de danzas criollas"
"Andrea Lam","Australia","27","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Andrea Lam","Australia","27","Final Recital","Corigliano","Etude Fantasy"
"Andrea Lam","Australia","27","Final Recital","Prokofiev","Sonata No.6 in A Major, Op.82"
"Andrea Lam","Australia","27","Final Concerti","Mozart","Piano Concerto No.27 in B-flat Major, K.595"
"Andrea Lam","Australia","27","Final Concerti","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Soyeon Lee","South Korea","29","Preliminary Recital","Albéniz","Iberia, Book I"
"Soyeon Lee","South Korea","29","Preliminary Recital","Schumann","Carnaval, Op. 9"
"Soyeon Lee","South Korea","29","Semifinal Recital","Haydn","Sonata in G Major, Hob. XVI:40"
"Soyeon Lee","South Korea","29","Semifinal Recital","Brahms","Sonata No. 2 in F-sharp Minor, Op. 2"
"Soyeon Lee","South Korea","29","Semifinal Recital","Bates","White Lies for Lomax"
"Soyeon Lee","South Korea","29","Semifinal Recital","Liszt","Sonetto 104 del Petrarca"
"Soyeon Lee","South Korea","29","Semifinal Recital","Ravel","La Valse"
"Soyeon Lee","South Korea","29","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Soyeon Lee","South Korea","29","Final Recital","Scarlatti","Sonata in A Major, K.208"
"Soyeon Lee","South Korea","29","Final Recital","Bach–Busoni","Chaconne in D Minor, BWV 1004"
"Soyeon Lee","South Korea","29","Final Recital","Chopin","Barcarolle in F-sharp Major, Op. 60"
"Soyeon Lee","South Korea","29","Final Recital","Prokofiev","Sonata No.7 in B-flat Major, Op.83"
"Soyeon Lee","South Korea","29","Final Concerti","Beethoven","Piano Concerto No.4 in G Major, Op.58"
"Soyeon Lee","South Korea","29","Final Concerti","Rachmaninoff","Rhapsody on a Theme of Paganini, Op.43"
"Ang Li","Canada","24","Preliminary Recital","Brahms","Sonata No. 3 in F Minor, Op. 5"
"Ang Li","Canada","24","Preliminary Recital","Debussy","Preludes, Books I and II:Minstrels,Feux d’artifice"
"Ang Li","Canada","24","Preliminary Recital","Bowen","Toccata, Op. 155"
"Ang Li","Canada","24","Semifinal Recital","Haydn","Sonata in C Major, Hob. XVI:50"
"Ang Li","Canada","24","Semifinal Recital","Liszt","Après une lecture de Dante"
"Ang Li","Canada","24","Semifinal Recital","Bates","White Lies for Lomax"
"Ang Li","Canada","24","Semifinal Recital","Rachmaninoff","Études-tableaux, Op. 33, Nos. 8, 2, and Études-tableaux in C-sharp Minor, Op. 33, No. 9"
"Ang Li","Canada","24","Semifinal Recital","Granados","Allegro de concierto"
"Ang Li","Canada","24","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Ang Li","Canada","24","Final Recital","Mozart","Fantasie in C Minor, K.475"
"Ang Li","Canada","24","Final Recital","Wagner–Liszt","Tristan und Isolde:Isoldens Liebestod"
"Ang Li","Canada","24","Final Recital","Debussy","Preludes, Books I and II:Brouillards,General Lavine-eccentric,La cathédrale engloutie,Ondine"
"Ang Li","Canada","24","Final Recital","Chopin","Ballade No.1 in G Minor, Op.23"
"Ang Li","Canada","24","Final Concerti","Beethoven","Piano Concerto No.4 in G Major, Op.58"
"Ang Li","Canada","24","Final Concerti","Brahms","Piano Concerto No.1 in D Minor, Op.15"
"Michail Lifits","Germany","26","Preliminary Recital","Mozart","Sonata in D Major, K. 311"
"Michail Lifits","Germany","26","Preliminary Recital","Schumann","Fantasie in C Major, Op. 17"
"Michail Lifits","Germany","26","Semifinal Recital","Liszt","Sonata in B Minor"
"Michail Lifits","Germany","26","Semifinal Recital","Hagen","Suite for Piano"
"Michail Lifits","Germany","26","Semifinal Recital","Prokofiev","Sonata No. 7 in B-flat Major, Op. 83"
"Michail Lifits","Germany","26","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Michail Lifits","Germany","26","Final Recital","Bach–Busoni","Chaconne in D Minor, BWV 1004"
"Michail Lifits","Germany","26","Final Recital","Schubert","Impromptu in G-flat Major, D.899, No.3"
"Michail Lifits","Germany","26","Final Recital","Beethoven","Sonata in C Minor, Op.111"
"Michail Lifits","Germany","26","Final Concerti","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Michail Lifits","Germany","26","Final Concerti","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Spencer Myer","United States","30","Preliminary Recital","Beethoven","Sonata in F-sharp Major, Op. 78"
"Spencer Myer","United States","30","Preliminary Recital","Chopin","Barcarolle in F-sharp Major, Op. 60"
"Spencer Myer","United States","30","Preliminary Recital","Debussy","Preludes, Book II:Feuilles mortes,Les fées sont d'exquises danseuses,Ondine,Les tierces alternées,Feux d'artifice"
"Spencer Myer","United States","30","Preliminary Recital","Vine","Piano Sonata No. 1 (1990)"
"Spencer Myer","United States","30","Semifinal Recital","Schubert","Four Impromptus, D. 899"
"Spencer Myer","United States","30","Semifinal Recital","Copland","Piano Variations"
"Spencer Myer","United States","30","Semifinal Recital","Hagen","Suite for Piano"
"Spencer Myer","United States","30","Semifinal Recital","Liszt","Venezia e Napoli"
"Spencer Myer","United States","30","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Spencer Myer","United States","30","Final Recital","Handel","Suite No. 2 in F Major, HWV 427"
"Spencer Myer","United States","30","Final Recital","Debussy","Images, Book II"
"Spencer Myer","United States","30","Final Recital","Albéniz","Iberia, Book I"
"Spencer Myer","United States","30","Final Recital","Gounod–Liszt","Faust Waltz"
"Spencer Myer","United States","30","Final Concerti","Beethoven","Piano Concerto No.4 in G Major, Op.58"
"Spencer Myer","United States","30","Final Concerti","Rachmaninoff","Rhapsody on a Theme of Paganini, Op.43"
"Ilya Rashkovskiy","Russia","24","Preliminary Recital","Beethoven","Sonata in A-flat Major, Op. 110"
"Ilya Rashkovskiy","Russia","24","Preliminary Recital","Chopin","Ballade No. 1 in G Minor, Op. 23"
"Ilya Rashkovskiy","Russia","24","Preliminary Recital","Rachmaninoff","Sonata No. 2 in B-flat Minor, Op. 36"
"Ilya Rashkovskiy","Russia","24","Semifinal Recital","Schumann","Symphonic Etudes, Op. 13 (including Posth. Variations)"
"Ilya Rashkovskiy","Russia","24","Semifinal Recital","Hagen","Suite for Piano"
"Ilya Rashkovskiy","Russia","24","Semifinal Recital","Prokofiev","Sonata No. 7 in B-flat Major, Op. 83"
"Ilya Rashkovskiy","Russia","24","Semifinal Chamber","Franck","Piano Quintet in F Minor"
"Ilya Rashkovskiy","Russia","24","Final Recital","Beethoven","Sonata in C Minor, Op. 111"
"Ilya Rashkovskiy","Russia","24","Final Recital","Ravel","Miroirs: Une barque sur l'océan"
"Ilya Rashkovskiy","Russia","24","Final Recital","Stravinsky","Trois mouvements de Pétrouchka"
"Ilya Rashkovskiy","Russia","24","Final Concerti","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Ilya Rashkovskiy","Russia","24","Final Concerti","Prokofiev","Piano Concerto No.2 in G Minor, Op.16"
"Mayumi Sakamoto","Japan","26","Preliminary Recital","Bach","Toccata in E Minor, BWV 914"
"Mayumi Sakamoto","Japan","26","Preliminary Recital","Mendelssohn","Variations sérieuses, Op. 54"
"Mayumi Sakamoto","Japan","26","Preliminary Recital","Rachmaninoff","Moments musicaux, Op. 16"
"Mayumi Sakamoto","Japan","26","Semifinal Recital","Schumann","Piano Sonata No. 3 in F Minor, Op. 14"
"Mayumi Sakamoto","Japan","26","Semifinal Recital","Hagen","Suite for Piano"
"Mayumi Sakamoto","Japan","26","Semifinal Recital","Mozart","Sonata in F Major, K. 332"
"Mayumi Sakamoto","Japan","26","Semifinal Recital","Bach–Busoni","Chaconne in D Minor, BWV 1004"
"Mayumi Sakamoto","Japan","26","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Mayumi Sakamoto","Japan","26","Final Recital","Fauré","Theme and Variations, Op. 73"
"Mayumi Sakamoto","Japan","26","Final Recital","Takemitsu","Rain Tree Sketch I"
"Mayumi Sakamoto","Japan","26","Final Recital","Liszt","Sonata in B Minor"
"Mayumi Sakamoto","Japan","26","Final Concerti","Beethoven","Piano Concerto No.3 in C Minor, Op.37"
"Mayumi Sakamoto","Japan","26","Final Concerti","Brahms","Piano Concerto No.1 in D Minor, Op.15"
"Yeol Eum Son","South Korea","23","Preliminary Recital","Haydn","Sonata in C Major, Hob. XVI:48"
"Yeol Eum Son","South Korea","23","Preliminary Recital","Schumann","Fantasiestücke, Op. 12"
"Yeol Eum Son","South Korea","23","Preliminary Recital","Liszt","Spanish Rhapsody"
"Yeol Eum Son","South Korea","23","Semifinal Recital","Debussy","Preludes, Book I:Le vent dans la plaine,Les sons et les parfums tournent dans l'air du soir,Les collines d'Anacapri,Des pas sur la neige,Ce qu'a vu le vent d'Ouest,La fille aux cheveux de lin"
"Yeol Eum Son","South Korea","23","Semifinal Recital","Godowsky","Symphonic Metamorphosis on Themes fromDie Fledermausby J. Strauss II"
"Yeol Eum Son","South Korea","23","Semifinal Recital","Bates","White Lies for Lomax"
"Yeol Eum Son","South Korea","23","Semifinal Recital","Barber","Sonata for Piano, Op. 26"
"Yeol Eum Son","South Korea","23","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Yeol Eum Son","South Korea","23","Final Recital","Bach–Petri","Sheep May Safely Graze"
"Yeol Eum Son","South Korea","23","Final Recital","Schubert","Impromptu in B-flat Major, D.935, No.3; Impromptu in F Minor, D.935, No.4"
"Yeol Eum Son","South Korea","23","Final Recital","Beethoven","Sonata in C Minor, Op.111"
"Yeol Eum Son","South Korea","23","Final Concerti","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Yeol Eum Son","South Korea","23","Final Concerti","Prokofiev","Piano Concerto No.6 in G Minor, Op.16"
"Chetan Tierra","United States","25","Preliminary Recital","Liszt","Ballade No. 2 in B Minor"
"Chetan Tierra","United States","25","Preliminary Recital","Schumann–Liszt","Widmung"
"Chetan Tierra","United States","25","Preliminary Recital","Brahms","Variations on a Theme by Paganini, Op. 35, Book I"
"Chetan Tierra","United States","25","Preliminary Recital","Ginastera","Sonata No. 1, Op. 22"
"Chetan Tierra","United States","25","Semifinal Recital","Clementi","Sonata in F-sharp Minor, Op. 25, No. 5"
"Chetan Tierra","United States","25","Semifinal Recital","Hagen","Suite for Piano"
"Chetan Tierra","United States","25","Semifinal Recital","Franck","Prelude, Chorale and Fugue"
"Chetan Tierra","United States","25","Semifinal Recital","Scriabin","Sonata No. 4 in F-sharp Major, Op. 30"
"Chetan Tierra","United States","25","Semifinal Recital","Prokofiev","Etude in D Minor, Op. 2, No. 1"
"Chetan Tierra","United States","25","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Chetan Tierra","United States","25","Final Recital","Debussy","Suite Bergamasque"
"Chetan Tierra","United States","25","Final Recital","Mussorgsky","Pictures at an Exhibition"
"Chetan Tierra","United States","25","Final Concerti","Beethoven","Piano Concerto No.3 in C Minor, Op.37"
"Chetan Tierra","United States","25","Final Concerti","Prokofiev","Piano Concerto No.3 in C Major, Op.26"
"Nobuyuki Tsujii","Japan","20","Preliminary Recital","Chopin","Twelve Etudes, Op. 10"
"Nobuyuki Tsujii","Japan","20","Preliminary Recital","Debussy","Images, Book I"
"Nobuyuki Tsujii","Japan","20","Preliminary Recital","Liszt","Paganini Etude No. 3, ""La Campanella"""
"Nobuyuki Tsujii","Japan","20","Semifinal Recital","Beethoven","Sonata in B-flat Major, Op. 106 (""Hammerklavier"")"
"Nobuyuki Tsujii","Japan","20","Semifinal Recital","Musto","Improvisation & Fugue"
"Nobuyuki Tsujii","Japan","20","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Nobuyuki Tsujii","Japan","20","Final Recital","Beethoven","Sonata in F Minor, Op. 57 (""Appassionata"")"
"Nobuyuki Tsujii","Japan","20","Final Recital","Chopin","Berceuse, Op. 57"
"Nobuyuki Tsujii","Japan","20","Final Recital","Liszt","Hungarian Rhapsody No. 2"
"Nobuyuki Tsujii","Japan","20","Final Concerti","Chopin","Piano Concerto No. 1 in E Minor, Op. 11"
"Nobuyuki Tsujii","Japan","20","Final Concerti","Rachmaninoff","Piano Concerto No. 2 in C Minor, Op. 18"
"Mariangela Vacatello","Italy","27","Preliminary Recital","Haydn","Sonata in C Major, Hob. XVI:50"
"Mariangela Vacatello","Italy","27","Preliminary Recital","Liszt","Transcendental Etude No. 10 in F Minor"
"Mariangela Vacatello","Italy","27","Preliminary Recital","Busoni","Ten Variations on a Prelude by Chopin"
"Mariangela Vacatello","Italy","27","Preliminary Recital","Stravinsky","Trois mouvements de Pétrouchka"
"Mariangela Vacatello","Italy","27","Semifinal Recital","Liszt","Sonata in B Minor"
"Mariangela Vacatello","Italy","27","Semifinal Recital","Hagen","Suite for Piano"
"Mariangela Vacatello","Italy","27","Semifinal Recital","Scriabin","Nocturne for the Left Hand, Op. 9, No. 2; Sonata No. 3 in F-sharp Minor, Op. 23"
"Mariangela Vacatello","Italy","27","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Mariangela Vacatello","Italy","27","Final Recital","Bach","Italian Concerto in F Major, BWV 971"
"Mariangela Vacatello","Italy","27","Final Recital","Chopin","Rondo in E-flat Major, Op. 16"
"Mariangela Vacatello","Italy","27","Final Recital","Ravel","Gaspard de la nuit"
"Mariangela Vacatello","Italy","27","Final Recital","Shostakovich","Prelude and Fugue in D-flat Major, Op. 87, No.15"
"Mariangela Vacatello","Italy","27","Final Concerti","Beethoven","Piano Concerto No.4 in G Major, Op.58"
"Mariangela Vacatello","Italy","27","Final Concerti","Prokofiev","Piano Concerto No.3 in C Major, Op.26"
"Vassilis Varvaresos","Greece","26","Preliminary Recital","Beethoven","Sonata in C-sharp Minor, Op. 27, No. 2 (""Moonlight"")"
"Vassilis Varvaresos","Greece","26","Preliminary Recital","Carter","Caténaires"
"Vassilis Varvaresos","Greece","26","Preliminary Recital","Liszt","Sonata in B Minor"
"Vassilis Varvaresos","Greece","26","Semifinal Recital","Chopin","Ballade No. 1 in G Minor, Op. 23"
"Vassilis Varvaresos","Greece","26","Semifinal Recital","Bates","White Lies for Lomax"
"Vassilis Varvaresos","Greece","26","Semifinal Recital","Prokofiev","Sonata No. 6 in A Major, Op. 82"
"Vassilis Varvaresos","Greece","26","Semifinal Recital","Liszt","Hungarian Rhapsody No. 2"
"Vassilis Varvaresos","Greece","26","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Vassilis Varvaresos","Greece","26","Final Recital","Bach","Prelude and Fugue in E-flat Major, BWV 852"
"Vassilis Varvaresos","Greece","26","Final Recital","Schubert","Sonata in C Minor, D.958"
"Vassilis Varvaresos","Greece","26","Final Recital","Balakirev","Islamey"
"Vassilis Varvaresos","Greece","26","Final Concerti","Beethoven","Piano Concerto No.3 in C Minor, Op.37"
"Vassilis Varvaresos","Greece","26","Final Concerti","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Lukáš Vondráček","Czech Republic","22","Preliminary Recital","Bach","Italian Concerto in F Major, BWV 971"
"Lukáš Vondráček","Czech Republic","22","Preliminary Recital","Chopin","Nocturne in E-flat Major, Op. 9, No. 2; Nocturne in C Minor, Op. 48, No. 1"
"Lukáš Vondráček","Czech Republic","22","Preliminary Recital","Liszt","Transcendental Etude No. 11:Harmonies du soir"
"Lukáš Vondráček","Czech Republic","22","Preliminary Recital","Smetana","Czech Dances: Furiant, Hulán, Skočná"
"Lukáš Vondráček","Czech Republic","22","Semifinal Recital","Beethoven","Sonata in F Minor, Op. 57, ""Appassionata"""
"Lukáš Vondráček","Czech Republic","22","Semifinal Recital","Debussy","Pour le piano"
"Lukáš Vondráček","Czech Republic","22","Semifinal Recital","Martinu","Three Czech Dances: Okrouhlak, Dupák, Polka"
"Lukáš Vondráček","Czech Republic","22","Semifinal Recital","Bates","White Lies for Lomax"
"Lukáš Vondráček","Czech Republic","22","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Lukáš Vondráček","Czech Republic","22","Final Recital","Mendelssohn","Variations sérieuses, Op. 54"
"Lukáš Vondráček","Czech Republic","22","Final Recital","Chopin","Polonaise in A-flat Major, Op. 53, ""Heroic"""
"Lukáš Vondráček","Czech Republic","22","Final Recital","Tchaikovsky–Pletnev","Pas de deux fromThe Nutcracker"
"Lukáš Vondráček","Czech Republic","22","Final Recital","Janáček","In the Mists"
"Lukáš Vondráček","Czech Republic","22","Final Recital","Dohnányi","Capriccio in B Minor, Op. 2, No. 4"
"Lukáš Vondráček","Czech Republic","22","Final Concerti","Mendelssohn","Piano Concerto No.1 in G Minor, Op.25"
"Lukáš Vondráček","Czech Republic","22","Final Concerti","Prokofiev","Piano Concerto No.1 in D-flat Major, Op.10"
"Di Wu","China","24","Preliminary Recital","Haydn","Sonata in C Major, Hob. XVI:48"
"Di Wu","China","24","Preliminary Recital","Ravel","Miroirs"
"Di Wu","China","24","Preliminary Recital","Gounod–Liszt","Faust Waltz"
"Di Wu","China","24","Semifinal Recital","C. Schumann","Mazurka fromSoirées musicales, Op. 6"
"Di Wu","China","24","Semifinal Recital","Schumann","Davidsbündlertänze, Op. 6"
"Di Wu","China","24","Semifinal Recital","Medtner","Fairy Tales, Op. 20"
"Di Wu","China","24","Semifinal Recital","Hagen","Suite for Piano"
"Di Wu","China","24","Semifinal Recital","Moszkowski","Caprice Espagnol, Op. 37"
"Di Wu","China","24","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Di Wu","China","24","Final Recital","Bach","Toccata in F-sharp Major, BWV 910"
"Di Wu","China","24","Final Recital","Schoenberg","Klavierstücke, Op. 11"
"Di Wu","China","24","Final Recital","Ravel","Gaspard de la nuit"
"Di Wu","China","24","Final Concerti","Beethoven","Piano Concerto No.2 in B-flat Major, Op.19"
"Di Wu","China","24","Final Concerti","Rachmaninoff","Piano Concerto No.3 in D Minor, Op.30"
"Amy J. Yang","United States/China","25","Preliminary Recital","Bach","French Overture in B Minor, BWV 831"
"Amy J. Yang","United States/China","25","Preliminary Recital","Schumann","Davidsbündlertänze, Op. 6"
"Amy J. Yang","United States/China","25","Semifinal Recital","Bach","Capriccio on the Departure of a Beloved Brother, BWV 992"
"Amy J. Yang","United States/China","25","Semifinal Recital","Mendelssohn","Variations sérieuses, Op. 54"
"Amy J. Yang","United States/China","25","Semifinal Recital","Musto","Improvisation & Fugue"
"Amy J. Yang","United States/China","25","Semifinal Recital","Berg","Sonata, Op. 1"
"Amy J. Yang","United States/China","25","Semifinal Recital","Brahms","Klavierstücke, Op. 119"
"Amy J. Yang","United States/China","25","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Amy J. Yang","United States/China","25","Final Recital","Schumann","Arabesque, Op. 18"
"Amy J. Yang","United States/China","25","Final Recital","Chopin","Barcarolle in F-sharp Major, Op. 60"
"Amy J. Yang","United States/China","25","Final Recital","Schubert","Sonata in C Minor, D.958"
"Amy J. Yang","United States/China","25","Final Concerti","Beethoven","Piano Concerto No.1 in C Major, Op.15"
"Amy J. Yang","United States/China","25","Final Concerti","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Feng Zhang","China","23","Preliminary Recital","Haydn","Sonata in G Major, Hob. XVI:6"
"Feng Zhang","China","23","Preliminary Recital","Mendelssohn","Prelude and Fugue in E Minor, Op. 35, No. 1"
"Feng Zhang","China","23","Preliminary Recital","Liszt","St. Francis d’Assise: La Prédication aux Oiseaux"
"Feng Zhang","China","23","Preliminary Recital","Rachmaninoff","Sonata No. 2 in B-flat Minor, Op. 36"
"Feng Zhang","China","23","Semifinal Recital","Chopin","Twenty-four Preludes, Op. 28"
"Feng Zhang","China","23","Semifinal Recital","Musto","Improvisation & Fugue"
"Feng Zhang","China","23","Semifinal Recital","Stravinsky","Trois mouvements de Pétrouchka"
"Feng Zhang","China","23","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op. 34"
"Feng Zhang","China","23","Final Recital","Beethoven","Sonata in B-flat Major, Op. 106 (""Hammerklavier"")"
"Feng Zhang","China","23","Final Recital","Chopin","Nocturne in E-flat Major, Op. 55, No. 2"
"Feng Zhang","China","23","Final Concerti","Mozart","Piano Concerto No. 20 in D Minor, K.466"
"Feng Zhang","China","23","Final Concerti","Rachmaninoff","Piano Concerto No. 3 in D Minor, Op.30"
"Haochen Zhang","China","19","Preliminary Recital","Beethoven","Sonata in A-flat Major, Op. 110"
"Haochen Zhang","China","19","Preliminary Recital","Chopin","Polonaise-fantaisie in A-flat Major, Op. 61"
"Haochen Zhang","China","19","Preliminary Recital","Stravinsky","Trois mouvements de Pétrouchka"
"Haochen Zhang","China","19","Semifinal Recital","Chopin","Twenty-four Preludes, Op. 28"
"Haochen Zhang","China","19","Semifinal Recital","Bates","White Lies for Lomax"
"Haochen Zhang","China","19","Semifinal Recital","Liszt","Spanish Rhapsody"
"Haochen Zhang","China","19","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Haochen Zhang","China","19","Final Recital","Brahms","Variations and Fugue on a Theme by Handel, Op. 24"
"Haochen Zhang","China","19","Final Recital","Ravel","Gaspard de la nuit"
"Haochen Zhang","China","19","Final Concerti","Mozart","Piano Concerto No.20 in D Minor, K.466"
"Haochen Zhang","China","19","Final Concerti","Prokofiev","Piano Concerto No.2 in G Minor, Op.16"
"Ning Zhou","China","21","Preliminary Recital","Ravel","Miroirs"
"Ning Zhou","China","21","Preliminary Recital","Liszt","Vallée d’Obermann"
"Ning Zhou","China","21","Preliminary Recital","Liszt","Mephisto Waltz No. 1"
"Ning Zhou","China","21","Semifinal Recital","Bach","Chromatic Fantasy and Fugue, BWV 903"
"Ning Zhou","China","21","Semifinal Recital","Haydn","Sonata in E Major, Hob. XVI:31"
"Ning Zhou","China","21","Semifinal Recital","Ravel","Pavane pour une infante défunte"
"Ning Zhou","China","21","Semifinal Recital","Rachmaninoff","Sonata No. 2 in B-flat Minor, Op. 36"
"Ning Zhou","China","21","Semifinal Recital","Musto","Improvisation & Fugue"
"Ning Zhou","China","21","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op. 44"
"Ning Zhou","China","21","Final Recital","Chopin","Polonaise-fantaisie in A-flat Major, Op. 61"
"Ning Zhou","China","21","Final Recital","Liszt","Après une lecture de Dante"
"Ning Zhou","China","21","Final Recital","Kapustin","Sonata No.1, Op.39, ""Sonata-Fantasia"""
"Ning Zhou","China","21","Final Concerti","Beethoven","Piano Concerto No.3 in C Minor, Op.37"
"Ning Zhou","China","21","Final Concerti","Rachmaninoff","Piano Concerto No.2 in C Minor, Op.18"
"Zhang Zuo","China","20","Preliminary Recital","Haydn","Sonata in G Major, Hob. XVI:40"
"Zhang Zuo","China","20","Preliminary Recital","Schumann","Variations on the name ""Abegg,"" Op. 1"
"Zhang Zuo","China","20","Preliminary Recital","Liszt","Transcendental Etude No. 5:Feux Follets"
"Zhang Zuo","China","20","Preliminary Recital","Chopin","Etude No. 7, Op. 10"
"Zhang Zuo","China","20","Preliminary Recital","Stravinsky","Etude No. 4, Op. 7"
"Zhang Zuo","China","20","Preliminary Recital","Liszt","Sonata in B Minor"
"Zhang Zuo","China","20","Semifinal Recital","Beethoven","Sonata in F-sharp Major, Op. 78"
"Zhang Zuo","China","20","Semifinal Recital","Ravel","Gaspard de la nuit"
"Zhang Zuo","China","20","Semifinal Recital","Musto","Improvisation & Fugue"
"Zhang Zuo","China","20","Semifinal Recital","Schumann","Symphonic Etudes, Op. 13"
"Zhang Zuo","China","20","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op. 81"
"Zhang Zuo","China","20","Final Recital","Barber","Sonata for Piano, Op. 26"
"Zhang Zuo","China","20","Final Recital","Schubert","Sonata in A Major, D.664"
"Zhang Zuo","China","20","Final Recital","Liszt","Spanish Rhapsody"
"Zhang Zuo","China","20","Final Concerti","Beethoven","Piano Concerto No.1 in C Major, Op.15"
"Zhang Zuo","China","20","Final Concerti","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Stephen Beus","United States","27","Preliminary Recital","Bach","English Suite No. 3 in G Minor, BWV 808"
"Stephen Beus","United States","27","Preliminary Recital","Barber","Sonata for Piano, op. 26"
"Stephen Beus","United States","27","Preliminary Recital","Liszt","Spanish Rhapsody"
"Stephen Beus","United States","27","Semifinal Recital","Hagen","Suite for Piano"
"Stephen Beus","United States","27","Semifinal Recital","Beethoven","Sonata in B-flat Major, op. 106 (""Hammerklavier"")"
"Stephen Beus","United States","27","Semifinal Chamber","Franck","Piano Quintet in F Minor"
"Stephen Beus","United States","27","Final Recital","Bach–Liszt","Prelude and Fugue in A Minor, BWV 543"
"Stephen Beus","United States","27","Final Recital","Mendelssohn","Sonata in E Major, op. 6"
