"Competi","Country","Age","Stage","Composer","Associated Piece"
"Paavali Jumppanen","Finland","26","Preliminary Round","Chopin","Sonata No. 3 in B Minor, Op. 58"
"Paavali Jumppanen","Finland","26","Semifinal Recital","James Mobberley","Give ’em Hell!"
"Paavali Jumppanen","Finland","26","Semifinal Recital","Rachmaninoff","Études-tableaux, Op. 39, Nos. 1–6"
"Paavali Jumppanen","Finland","26","Semifinal Recital","Bach","English Suite No. 3 in G Minor, BWV 808"
"Paavali Jumppanen","Finland","26","Semifinal Recital","Scriabin","Sonata No. 10, Op. 70"
"Paavali Jumppanen","Finland","26","Semifinal Recital","Liszt","Mephisto Waltz No.1"
"Paavali Jumppanen","Finland","26","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op.34"
"Paavali Jumppanen","Finland","26","Final Round","Mozart","Piano Concerto No.25 in C Major, K.503"
"Paavali Jumppanen","Finland","26","Final Round","Brahms","Piano Concerto No.1 in D Minor, Op.15"
"Amir Katz","Israel","28","Preliminary Round","Beethoven","Sonata in C Major, Op. 53 (""Waldstein"")"
"Amir Katz","Israel","28","Preliminary Round","Schumann","Kreisleriana, Op. 16"
"Amir Katz","Israel","28","Semifinal Recital","C. Curtis-Smith","Four Etudes"
"Amir Katz","Israel","28","Semifinal Recital","Schubert","Sonata in B-flat Major, D.960"
"Amir Katz","Israel","28","Semifinal Recital","Liszt","Six Paganini Etudes"
"Amir Katz","Israel","28","Semifinal Chamber","Franck","Piano Quintet in F Minor"
"Amir Katz","Israel","28","Final Round","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Amir Katz","Israel","28","Final Round","Schumann","Piano Concerto in A Minor, Op.54"
"Olga Kern","Russia","26","Preliminary Round","Rachmaninoff","Sonata No. 2 in B-flat Minor, Op. 36 (1931)"
"Olga Kern","Russia","26","Preliminary Round","Shostakovich","Prelude and Fugue in B-flat Major, Op. 87, No. 21"
"Olga Kern","Russia","26","Preliminary Round","Wagner–Liszt","Isolde’s LiebestodfromTristan und Isolde"
"Olga Kern","Russia","26","Preliminary Round","Liszt","Réminiscences de Don Juan"
"Olga Kern","Russia","26","Semifinal Recital","Schubert","Impromptu in F Minor, D.935, No. 1"
"Olga Kern","Russia","26","Semifinal Recital","Schubert","Impromptu in B-flat Major, D.935, No. 3"
"Olga Kern","Russia","26","Semifinal Recital","Brahms","Variations on a Theme by Paganini, Op.35, Books I and II"
"Olga Kern","Russia","26","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
"Olga Kern","Russia","26","Semifinal Recital","Scriabin","Sonata No.9, Op.68"
"Olga Kern","Russia","26","Semifinal Recital","Barber","Sonata for Piano, Op.26"
"Olga Kern","Russia","26","Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Olga Kern","Russia","26","Final Round","Mozart","Piano Concerto No.27 in B-flat Major, K.595"
"Olga Kern","Russia","26","Final Round","Rachmaninoff","Piano Concerto No.3 in D Minor, Op.30"
"Oleksiy Koltakov","Ukraine","22","Preliminary Round","Brahms","Variations on a Theme by Paganini, Op. 35, Books I and II"
"Oleksiy Koltakov","Ukraine","22","Preliminary Round","Scarlatti","Sonata in F Minor, K.466"
"Oleksiy Koltakov","Ukraine","22","Preliminary Round","Prokofiev","Sonata No. 7 in B-flat Major, Op. 83"
"Oleksiy Koltakov","Ukraine","22","Semifinal Recital","Liszt","Sonata in B Minor"
"Oleksiy Koltakov","Ukraine","22","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Oleksiy Koltakov","Ukraine","22","Semifinal Recital","Rachmaninoff","Sonata No.2 in B-flat Minor, Op.36 (1931)"
"Oleksiy Koltakov","Ukraine","22","Semifinal Recital","Liszt-Horowitz","Hungarian Rhapsody No.2"
"Oleksiy Koltakov","Ukraine","22","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op.81"
"Oleksiy Koltakov","Ukraine","22","Final Round","Beethoven","Piano Concerto No.2 in B-flat Major, Op.19"
"Oleksiy Koltakov","Ukraine","22","Final Round","Rachmaninoff","Piano Concerto No.3 in D Minor, Op.30"
"Sergey Koudriakov","Russia","23","Preliminary Round","Haydn","Sonata in G Major, Hob. XVI:40"
"Sergey Koudriakov","Russia","23","Preliminary Round","Rachmaninoff","Prelude in B Minor, Op.32, No.10"
"Sergey Koudriakov","Russia","23","Preliminary Round","Rachmaninoff","Prelude in B-flat Major, Op.23, No.2"
