,Competitior Name,Country of Origin,Age,Composite
288,Sa Chen,China,25.0,Chopin Sonata No.3 in B Minor Op.58
310,Kenneth Broberg,United States,23.0,Liszt Jeux d'eau
319,Emma Takhmizian,Bulgaria,27.0,Chopin Etude in A Minor Op.25 No.11
324,Alexander Shtarkman,USSR,22.0,Chopin Etude in A Minor Op.10 No.2
350,Johan Schmidt,Belgium,28.0,Liszt Spanish Rhapsody
358,Sergei Davydchenko,Russia,,Bach Prelude and Fugue in E-flat Major BWV 852
371,Jonathan Mamora,USA,27.0,Rachmaninoff Liebesleid
375,Jonathan Mamora,USA,27.0,Beethoven Sonata in B Minor
423,Shishkin Dmitry,Russia,,Liszt La Campanella
458,Fujita Mao,Japan,,Prokofiev 4 Etudes Op.2
461,Shishkin Dmitry,Russia,,Chopin 3 Mazurkas Op.59
470,Lukas Geniusas,Russia/Lithuania,,Chopin Etude in C-sharp Minor Op.10 No.4
471,Lukas Geniusas,Russia/Lithuania,,Chopin Etude in G-flat Major Op.10 No.5
472,Lukas Geniusas,Russia/Lithuania,,Chopin Etude in E-flat Minor Op.10 No.6
504,Melnikov Alexey,Russia,,Bach Prelude and Fugue in C-sharp Minor BWV 873
508,Yemelyanov Konstantin,Russia,,Tchaikovsky Nocturne Op.19 No.4
541,Broberg Kenneth,USA,,Bach Prelude No.1 in C Major
542,Melnikov Alexey,Russia,,Scriabin Prelude No.2 in A Minor
550,Melnikov Alexey,Russia,,Prokofiev 4 Etudes Op.2
551,Melnikov Alexey,Russia,,Liszt Sonata in B Minor
555,Yemelyanov Konstantin,Russia,,Rachmaninoff Variations on a Theme of Corelli Op.42
557,Daniel Kharitonov,Russia,,Rachmaninoff Prelude in G-flat major Op.23 No.10
558,Daniel Kharitonov,Russia,,Liszt Hungarian Rhapsody No.12
565,Sergei Redkin,Russia,,Schubert-Liszt Erlkönig
567,Sergei Redkin,Russia,,Bach Toccata in C Minor BWV 911
568,Sergei Redkin,Russia,,Mozart Piano Concerto No.12 in A major K.414
569,Yanfeng Bai,China,23.0,Scriabin Etude in C-sharp Minor Op.42 No.5
573,Suah Ye,South Korea,,Bach Prelude and Fugue in G Minor BWV 885
575,Suah Ye,South Korea,,Chopin Etude in A Minor Op.25 No.11
578,Suah Ye,South Korea,,"Beethoven Sonata in C Major Op.53 ""Waldstein"""
579,Xuanyi Mao,China,,Bach Prelude and Fugue in C-sharp Minor BWV 873
581,Xuanyi Mao,China,,Liszt Transcendental Etude No.10
582,Xuanyi Mao,China,,Chopin Etude in A Minor Op.10 No.2
583,Xuanyi Mao,China,,Tchaikovsky Dumka Op.59
584,Xuanyi Mao,China,,Beethoven Sonata in A-flat Major Op.110
588,Suah Ye,South Korea,,Schumann Symphonic Etudes Op.13
593,Xuanyi Mao,China,,Tchaikovsky Nocturne Op.19 No.4
